Years,Net Income From Continuing Operations,"Cash Flow Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Other Working Capital,Change In Working Capital,Deferred Tax,Stock Based Compensation,Asset Impairment Charge,Cash from Discontinued Operating Activities,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Issuance of Debt,Payments of Debt,Net Issuance of Debt,Cash Flow for Dividends,Cash Flow for Lease Financing,Other Financing,Cash Flow from Financing,Beginning Cash Position,Effect of Exchange Rate Changes,Net Change in Cash,Ending Cash Position,Capital Expenditure,Free Cash Flow
1994,310,168,-199,418,0,-111,140,248,0,0,0,0,11,737,-160,0,0,0,-312,474,0,0,-4,-2,82,0,0,297,-531,-234,-56,0,0,-208,676,0,527,1203,-160,577
1995,424,127,-350,-687,0,236,4,-797,0,0,0,0,6,-240,-159,0,0,0,-1672,1531,0,0,-102,-402,86,0,0,169,-2,167,-58,0,0,195,1203,0,-447,756,-159,-399
1996,-816,116,435,1113,0,-249,230,1529,-437,0,0,0,16,408,-67,47,0,0,-437,440,0,0,9,-8,39,0,0,646,-275,371,-14,0,0,396,756,0,796,1552,-67,341
1997,-1045,118,469,225,0,2,23,719,-50,0,0,0,412,154,-53,47,-384,0,-999,963,-384,0,311,-499,34,0,150,0,-161,-161,0,0,0,23,1552,0,-322,1230,-437,-283
1998,309,111,72,359,0,-73,29,387,1,0,0,0,-33,775,-46,89,0,24,-2313,1723,-10,0,-10,-543,41,0,0,3,-25,-22,0,0,0,19,1230,0,251,1481,-46,729
1999,601,85,274,58,0,95,-26,401,-35,0,0,0,-230,822,-71,23,0,245,-4348,3155,0,0,8,-988,86,-75,0,0,0,0,0,0,0,11,1481,0,-155,1326,-71,751
2000,786,84,-272,-13,0,318,159,192,163,0,0,0,-357,868,-142,11,0,372,-4499,3331,0,0,-45,-972,85,-116,0,0,0,0,0,0,0,-31,1326,0,-135,1191,-142,726
2001,-37,100,487,22,0,-356,58,211,-36,2,0,0,-55,185,-232,0,-19,340,-4268,5429,0,0,-358,892,42,0,0,0,0,0,0,0,0,42,1191,0,1119,2310,-232,-47
2002,65,114,-99,-34,0,110,-89,-112,-34,5,0,0,51,89,-174,0,-52,25,-4144,4125,0,0,-32,-252,105,0,0,0,0,0,0,0,0,105,2310,0,-58,2252,-174,-85
2003,68,113,-201,-11,0,243,88,119,-4,16,0,0,-23,289,-164,0,0,0,-2648,3607,0,0,33,828,53,-26,0,0,0,0,0,0,0,27,2252,0,1144,3396,-164,125
2004,266,150,-8,-45,0,297,124,368,19,46,0,0,85,934,-176,0,0,0,-3270,1947,0,0,11,-1488,427,0,0,0,-300,-300,0,0,0,127,3396,0,-427,2969,-176,758
2005,1328,179,-121,-64,0,328,349,492,50,49,0,0,437,2535,-260,0,0,0,-11470,9195,0,0,-21,-2556,543,0,0,0,0,0,0,0,0,543,2969,0,522,3491,-260,2275
2006,1989,225,-357,-105,0,1611,-1374,-225,53,163,0,0,15,2220,-657,0,0,40,-7280,8312,-28,0,-30,357,318,-355,0,0,0,0,0,0,361,324,3491,0,2901,6392,-685,1535
2007,3496,317,-385,-76,0,1494,292,1325,78,242,0,0,12,5470,-735,0,0,0,-11736,9424,-251,0,49,-3249,365,-3,0,0,0,0,0,0,377,739,6392,0,2960,9352,-986,4484
2008,6119,496,-675,-163,0,596,2287,2045,398,516,0,0,22,9596,-1091,0,-220,0,-23003,16243,-108,0,-10,-8189,483,0,0,0,0,0,0,0,633,1116,9352,0,2523,11875,-1199,8397
2009,8235,734,-353,54,0,92,-379,-586,1040,710,0,0,26,10159,-1144,0,0,0,-46825,30678,-69,0,-74,-17434,475,0,0,0,0,0,0,0,188,663,11875,0,-6612,5263,-1213,8946
2010,14013,1027,-4860,-596,0,6307,385,1236,1440,879,0,0,0,18595,-2005,0,-638,0,-57793,46718,-116,0,-20,-13854,912,0,0,0,0,0,0,0,345,1257,5263,0,5998,11261,-2121,16474
2011,25922,1814,-1791,275,0,2515,4758,5757,2868,1168,0,0,0,37529,-4260,0,-244,0,-102317,69853,-3192,0,-259,-40419,831,0,0,0,0,0,0,0,613,1444,11261,0,-1446,9815,-7452,30077
2012,41733,3277,-6965,-15,0,4467,2214,-299,4405,1740,0,0,0,50856,-8295,0,-350,0,-151232,112805,-1107,0,-48,-48227,665,0,0,0,0,0,-2488,0,125,-1698,9815,0,931,10746,-9402,41454
2013,37037,6757,-1949,-973,0,2340,7060,6478,1141,2253,0,0,0,53666,-8165,0,-496,0,-148489,124447,-911,0,-160,-33774,530,-22860,0,16896,0,16896,-10564,0,-381,-16379,10746,0,3513,14259,-9076,44590
2014,39510,7946,-6452,-76,0,5938,7637,7047,2347,2863,0,0,0,59713,-9571,0,-3765,0,-217138,208111,-242,0,26,-22579,730,-45000,0,18266,0,18266,-11126,0,-419,-37549,14259,0,-415,13844,-9813,49900
2015,53394,11257,-3318,-238,0,5001,9817,11262,1382,3586,0,0,385,81266,-11247,0,-343,0,-166402,121985,-241,0,-26,-56274,543,-35253,0,29305,0,29305,-11561,0,-750,-17716,13844,0,7276,21120,-11488,69778
2016,45687,10505,476,217,0,2117,-2405,405,4938,4210,0,0,486,66231,-12734,0,-297,0,-143816,111794,-814,0,-110,-45977,495,-29722,0,24954,-2897,22057,-12150,0,-1570,-20890,21120,0,-636,20484,-12734,53497
2017,48351,10157,-6347,-2723,0,8966,-4819,-4923,5966,4840,0,0,-166,64225,-12451,0,-329,0,-160007,126465,-344,0,220,-46446,555,-32900,0,32514,-3500,29014,-12769,0,-1874,-17974,20484,0,-195,20289,-12451,51774
2018,59531,10903,-13332,828,0,9175,38023,34694,-32590,5340,0,0,-444,77434,-13313,0,-721,0,-73227,104072,0,0,-745,16066,669,-72738,0,6969,-6537,432,-13712,0,-2527,-87876,20289,0,5624,25913,-13313,64121
2019,55256,12547,3176,-289,0,-1923,-4452,-3488,-340,6068,0,0,-652,69391,-10495,0,-624,0,-40631,98724,0,0,-1078,45896,781,-66897,0,6963,-14782,-7819,-14119,0,-2922,-90976,25913,0,24311,50224,-10495,58896
2020,57411,11056,8470,-127,0,-4062,1409,5690,-215,6829,0,0,-97,80674,-7309,0,-1524,0,-114938,120391,0,0,-909,-4289,880,-72358,0,16091,-13592,2499,-14081,0,-3760,-86820,50224,0,-10435,39789,-7309,73365
2021,94680,11284,-14028,-2642,0,12326,-567,-4911,-4774,7906,0,0,-147,104038,-11085,0,-33,0,-109558,106483,0,0,-352,-14545,1105,-85971,0,21415,-8750,12665,-14467,0,-6685,-93353,39789,0,-3860,35929,-11085,92953
2022,99803,11104,-9343,1484,0,9448,-389,1200,895,9038,0,0,111,122151,-10708,0,-306,0,-76923,67363,0,0,-1780,-22354,0,-89402,0,9420,-9543,-123,-14841,0,-6383,-110749,35929,0,-10952,24977,-10708,111443
2023,96995,11519,-417,-1618,0,-1889,-2653,-6577,0,10833,0,0,-2227,110543,-10959,0,0,0,-29513,45514,0,0,-1337,3705,0,-77550,0,5228,-15129,-9901,-15025,0,-6012,-108488,24977,0,5760,30737,-10959,99584
