,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,45,2011,1974,493,1481,75.025,305,144,0,449,1032,52.28,1,-22,-21,-3,1008,-402,39.88,0,606,606,0,0,606,30.699,0,0.154,0.154,2517,1030,139,1169,59.22
1,45,2012,3711,860,2851,76.826,707,388,0,1095,1756,47.319,4,-42,-38,-23,1695,-695,41,0,1000,1000,0,0,1000,26.947,0,0.276,0.276,2517,1737,323,2060,55.511
2,45,2013,5089,1364,3725,73.197,1788,1399,0,3187,538,10.572,14,-51,-35,-9,494,-441,89.27,0,53,53,0,0,53,1.042,0,0.02,0.01,2166,545,649,1194,23.462
3,45,2014,7872,1875,5997,76.181,1778,1415,0,3193,2804,35.62,19,-56,-36,-14,2754,-1254,45.53,0,1500,1500,0,0,1500,19.055,0,0.62,0.6,2517,2810,1011,3821,48.539
4,45,2015,12466,2153,10313,82.729,2653,2666,0,5319,4994,40.061,27,-23,3,-87,4910,-1970,40.12,0,2940,2940,0,0,2940,23.584,0,1.12,1.1,2664,4933,1243,6176,49.543
5,45,2016,17928,2867,15061,84.008,4020,4816,0,8836,6225,34.722,52,-23,35,-66,6194,-2506,40.46,0,3688,3688,0,0,3688,20.571,0,1.31,1.29,2853,6217,1945,8162,45.527
6,45,2017,27638,3789,23849,86.291,5503,5919,0,11422,12427,44.964,176,-10,167,-76,12518,-2301,18.38,0,10217,10217,0,0,10217,36.967,0,3.56,3.49,2925,12528,2342,14870,53.803
7,45,2018,40653,5454,35199,86.584,7242,7754,0,14996,20203,49.696,398,-6,397,-6,20594,-4660,22.63,0,15934,15934,0,0,15934,39.195,0,5.49,5.39,2956,20600,3025,23625,58.114
8,45,2019,55838,9355,46483,83.246,11297,10273,0,21570,24913,44.617,652,-9,661,-213,25361,-3249,12.81,0,22112,22112,0,0,22112,39.6,0,7.65,7.57,2921,24913,4315,29228,52.344
9,45,2020,70697,12770,57927,81.937,20341,13600,0,33941,23986,33.928,904,-20,931,-105,24812,-6327,25.5,0,18485,18485,0,0,18485,26.147,0,6.48,6.43,2876,23986,5741,29727,42.049
10,45,2021,85965,16692,69273,80.583,18155,18447,0,36602,32671,38.005,672,-34,638,-129,33180,-4034,12.16,0,29146,29146,0,0,29146,33.905,0,10.22,10.09,2888,32671,6862,39533,45.987
11,45,2022,117929,22649,95280,80.794,23872,24655,0,48527,46753,39.645,461,0,671,-140,47284,-7914,16.74,0,39370,39370,0,0,39370,33.385,0,13.99,13.77,2859,46753,7967,54720,46.401
12,45,2023,116609,25249,91360,78.347,27078,35338,0,62416,28944,24.821,276,-320,-44,-81,28819,-5619,19.5,0,23200,23200,0,0,23200,19.896,0,8.63,8.59,2702,28944,8686,37630,32.27
