,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,86,1994,67985,53444,14541,21.389,10333,0,0,10333,4208,6.19,0,-517,-517,0,3691,-1358,36.79,0,2333,2333,0,0,2333,3.432,0,0.51,0.51,4574.51,4208,849,5057,7.438
1,86,1995,83412,65586,17826,21.371,12858,0,0,12858,4968,5.956,0,-706,-706,0,4262,-1581,37.1,0,2681,2681,0,0,2681,3.214,0,0.585,0.585,4582.906,4968,1070,6038,7.239
2,86,1996,94773,74505,20268,21.386,15021,0,0,15021,5247,5.536,0,-888,-888,0,4359,-1606,36.84,0,2753,2753,0,-13,2740,2.891,0,0.595,0.595,4598,5247,1304,6551,6.912
3,86,1997,106178,83510,22668,21.349,16946,0,0,16946,5722,5.389,0,-845,-845,0,4877,-1794,36.78,0,3083,3083,0,-27,3056,2.878,0,0.67,0.67,4592,5722,1463,7185,6.767
4,86,1998,119299,93438,25861,21.677,19358,0,0,19358,6503,5.451,0,-784,-784,0,5719,-2115,36.98,0,3604,3604,0,-78,3526,2.956,0,0.78,0.78,4533,6503,1634,8137,6.821
5,86,1999,139208,108725,30483,21.897,22363,0,0,22363,8120,5.833,0,-797,-797,0,7323,-2740,37.42,0,4583,4583,0,-153,4430,3.182,0,0.99,0.99,4485,8120,1872,9992,7.178
6,86,2000,166809,129664,37145,22.268,27040,0,0,27040,10105,6.058,0,-1022,-1022,0,9083,-3338,36.75,0,5745,5745,0,-170,5575,3.342,0,1.21,1.2,4474,10105,2375,12480,7.482
7,86,2001,193116,150255,42861,22.194,31550,0,0,31550,11311,5.857,188,-1383,-1195,0,10116,-3692,36.5,0,6424,6424,0,-129,6295,3.26,0,1.41,1.4,4484,11499,2868,14367,7.44
8,86,2002,205823,159097,46726,22.702,35147,0,0,35147,11579,5.626,171,-1354,-1183,0,10396,-3765,36.22,144,6775,6631,144,-183,6592,3.203,0,1.48,1.47,4481,11750,3228,14978,7.277
9,86,2003,231577,178299,53278,23.007,39983,0,0,39983,13295,5.741,132,-1059,-927,0,12368,-4357,35.23,137,8148,8011,137,-193,7955,3.435,0,1.8,1.79,4446,13427,3364,16791,7.251
10,86,2004,258681,198747,59934,23.169,44909,0,0,44909,15025,5.808,164,-996,-832,0,14193,-5118,36.06,193,9268,9075,193,-214,9054,3.5,0,2.08,2.07,4373,15189,3852,19041,7.361
11,86,2005,284310,216832,67478,23.734,50178,0,0,50178,17300,6.085,204,-1184,-980,0,16320,-5589,34.25,-215,10516,10731,-215,-249,10267,3.611,0,2.41,2.41,4266,17504,4185,21689,7.629
12,86,2006,312101,237649,74452,23.855,55739,0,0,55739,18713,5.996,242,-1420,-1178,0,17535,-5803,33.09,-177,11555,11732,-177,-324,11231,3.599,0,2.68,2.68,4188,18955,4645,23600,7.562
13,86,2007,348368,263979,84389,24.224,63892,0,0,63892,20497,5.884,280,-1809,-1529,0,18968,-6354,33.5,-905,11709,12614,-905,-425,11284,3.239,0,2.71,2.71,4168,20777,5459,26236,7.531
14,86,2008,377023,284137,92886,24.637,70934,0,0,70934,21952,5.823,309,-2103,-1794,0,20158,-6889,34.18,-132,13137,13269,-132,-406,12731,3.377,0,3.13,3.13,4072,22261,6317,28578,7.58
15,86,2009,404254,303941,100313,24.814,77546,0,0,77546,22767,5.632,284,-2184,-1900,0,20867,-7133,34.18,146,13880,13734,146,-499,13381,3.31,0,3.4,3.39,3951,23051,6739,29790,7.369
16,86,2010,408085,304106,103979,25.48,79977,0,0,79977,24002,5.882,181,-2065,-1884,0,22118,-7156,32.35,-79,14883,14962,-79,-513,14370,3.521,0,3.72,3.71,3877,24183,7157,31340,7.68
17,86,2011,421849,314946,106903,25.342,81361,0,0,81361,25542,6.055,201,-2205,-2004,0,23538,-7579,32.2,1034,16993,15959,1034,-604,16389,3.885,0,4.48,4.47,3670,25743,7641,33384,7.914
18,86,2012,446509,334993,111516,24.975,85025,0,0,85025,26491,5.933,161,-2320,-2159,0,24332,-7924,32.57,-21,16387,16408,-21,-688,15699,3.516,0,4.54,4.52,3474,26652,8106,34758,7.784
19,86,2013,468651,352297,116354,24.827,88629,0,0,88629,27725,5.916,186,-2249,-2063,0,25662,-7958,31.01,52,17756,17704,52,-757,16999,3.627,0,5.04,5.02,3389,27911,8478,36389,7.765
20,86,2014,476294,358069,118225,24.822,91353,0,0,91353,26872,5.642,119,-2335,-2216,0,24656,-8105,32.87,144,16695,16551,144,-673,16022,3.364,0,4.9,4.88,3283,26991,8870,35861,7.529
21,86,2015,485651,365086,120565,24.825,93418,0,0,93418,27147,5.59,113,-2461,-2348,0,24799,-7985,32.2,285,17099,16814,285,-736,16363,3.369,0,5.07,5.05,3243,27260,9173,36433,7.502
22,86,2016,482130,360984,121146,25.127,97041,0,0,97041,24105,5,81,-2548,-2467,0,21638,-6558,30.31,0,15080,15080,0,-386,14694,3.048,0,4.58,4.57,3217,24186,9454,33640,6.977
23,86,2017,485873,361256,124617,25.648,101853,0,0,101853,22764,4.685,100,-2367,-2267,0,20497,-6204,30.27,0,14293,14293,0,-650,13643,2.808,0,4.4,4.38,3112,22864,10080,32944,6.78
24,86,2018,500343,373396,126947,25.372,106510,0,0,106510,20437,4.085,152,-2330,-2178,-3136,15123,-4600,30.42,0,10523,10523,0,-661,9862,1.971,0,3.29,3.28,3010,17453,10529,27982,5.593
25,86,2019,514405,385301,129104,25.098,107147,0,0,107147,21957,4.268,217,-2346,-2129,-8368,11460,-4281,37.36,0,7179,7179,0,-509,6670,1.297,0,2.28,2.26,2945,13806,10678,24484,4.76
26,86,2020,523964,394605,129359,24.689,108791,0,0,108791,20568,3.926,189,-2599,-2410,1958,20116,-4915,24.43,0,15201,15201,0,-320,14881,2.84,0,5.22,5.19,2868,22715,10987,33702,6.432
27,86,2021,559151,420315,138836,24.83,116288,0,0,116288,22548,4.033,121,-2315,-2194,210,20564,-6858,33.35,0,13706,13706,0,-196,13510,2.416,0,4.77,4.75,2847,22879,11152,34031,6.086
28,86,2022,572754,429000,143754,25.099,117812,0,0,117812,25942,4.529,158,-1994,-1836,-5410,18696,-4756,25.44,0,13940,13940,0,-267,13673,2.387,0,4.9,4.87,2805,20690,10658,31348,5.473
29,86,2023,611289,463721,147568,24.14,127140,0,0,127140,20428,3.342,254,-2128,-1874,-1538,17016,-5724,33.64,0,11292,11292,0,388,11680,1.911,0,4.29,4.27,2734,19144,10945,30089,4.922
