,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,38,1994,14138,4174,9964,70.477,6953,0,617,7570,2394,16.933,0,0,0,-62,2332,-545,23.37,0,1787,1787,0,0,1787,12.64,0,0.685,0.68,2627.941,2394,617,3011,21.297
1,38,1995,15734,4575,11159,70.923,6350,1278,724,8352,2807,17.84,0,0,0,-126,2681,-675,25.18,0,2006,2006,0,0,2006,12.75,0,0.78,0.78,2606,2807,724,3531,22.442
2,38,1996,18842,5378,13464,71.457,9096,0,857,9953,3511,18.634,0,0,0,-194,3317,-914,27.56,0,2403,2403,0,0,2403,12.753,0,0.93,0.93,2584,3511,857,4368,23.182
3,38,1997,21620,6009,15611,72.206,10299,0,1009,11308,4303,19.903,0,0,0,-270,4033,-1146,28.42,0,2887,2887,0,0,2887,13.353,0,1.085,1.085,2726.316,4303,1009,5312,24.57
4,38,1998,22629,6085,16544,73.11,8715,2140,1067,11922,4622,20.425,0,0,0,-46,4576,-1273,27.82,0,3303,3303,0,0,3303,14.596,0,1.235,1.205,2741.079,4622,1067,5689,25.14
5,38,1999,23995,6319,17676,73.665,9027,2336,1285,12648,5028,20.954,0,0,0,-846,4182,-1179,28.19,0,3003,3003,0,0,3003,12.515,0,1.08,1.06,2833.019,5028,1285,6313,26.31
6,38,2000,28007,8498,19509,69.658,10756,2768,0,13524,5985,21.37,0,0,0,-108,5877,-1604,27.29,0,4273,4273,0,0,4273,15.257,0,1.43,1.39,3074.101,5985,1510,7495,26.761
7,38,2001,29172,8957,20215,69.296,10495,3105,0,13600,6615,22.676,0,0,0,253,6868,-1915,27.88,0,4953,4953,0,0,4953,16.979,0,1.65,1.61,3099.2,6615,1592,8207,28.133
8,38,2002,32317,9581,22736,70.353,11260,3591,0,14851,7885,24.399,0,0,0,13,7898,-2230,28.23,0,5668,5668,0,0,5668,17.539,0,1.87,1.84,3080.435,7885,1605,9490,29.365
9,38,2003,36298,10447,25851,71.219,12216,3957,0,16173,9678,26.663,0,0,0,-387,9291,-2694,29,0,6597,6597,0,0,6597,18.175,0,2.2,2.16,3054.167,9678,1662,11340,31.241
10,38,2004,41862,12176,29686,70.914,14131,4684,0,18815,10871,25.969,0,0,0,-563,10308,-3111,30.18,0,7197,7197,0,0,7197,17.192,0,2.425,2.29,3142.795,10871,1869,12740,30.433
11,38,2005,47348,13474,33874,71.543,16174,5344,0,21518,12356,26.096,0,0,0,-25,12331,-4151,33.66,0,8180,8180,0,0,8180,17.276,0,2.753,2.74,2985.401,12356,2124,14480,30.582
12,38,2006,50514,14010,36504,72.265,17211,6462,0,23673,12831,25.401,0,0,0,285,13116,-3056,23.3,0,10060,10060,0,0,10060,19.915,0,3.38,3.35,3002.985,12831,2093,14924,29.544
13,38,2007,53324,15057,38267,71.763,17433,7125,0,24558,13709,25.709,0,0,0,878,14587,-3534,24.23,0,11053,11053,0,0,11053,20.728,0,3.76,3.73,2963.271,13709,2177,15886,29.792
14,38,2008,61095,17751,43344,70.945,20451,7680,0,28131,15213,24.901,452,-296,156,-2086,13283,-2707,20.38,0,10576,10576,0,0,10576,17.311,0,3.67,3.63,2910.7,13579,2777,16356,26.771
15,38,2009,63747,18511,45236,70.962,21490,7577,0,29067,16169,25.364,361,-435,-74,834,16929,-3980,23.51,0,12949,12949,0,0,12949,20.313,0,4.62,4.57,2835.6,17364,2832,20196,31.682
16,38,2010,61897,18447,43450,70.197,19801,6986,0,26787,16663,26.921,90,-451,-361,-547,15755,-3489,22.15,0,12266,12266,0,0,12266,19.817,0,4.45,4.4,2789.1,16206,2774,18980,30.664
17,38,2011,61587,18792,42795,69.487,19424,6844,0,26268,16527,26.835,107,-455,-348,768,16947,-3613,21.32,0,13334,13334,0,0,13334,21.651,0,4.85,4.78,2788.8,17402,2939,20341,33.028
18,38,2012,65030,20360,44670,68.691,20969,7548,0,28517,16153,24.839,91,-571,-480,-3312,12361,-2689,21.75,0,9672,9672,0,0,9672,14.873,0,3.54,3.49,2775.3,12932,3158,16090,24.742
19,38,2013,67224,21658,45566,67.782,20869,7665,0,28534,17032,25.336,64,-532,-468,-2789,13775,-3261,23.67,0,10514,10514,0,339,10853,16.145,0,3.94,3.86,2812.6,14307,3666,17973,26.736
20,38,2014,71312,22342,48970,68.67,21830,8183,0,30013,18957,26.583,74,-482,-408,-3078,15471,-1640,10.6,0,13831,13831,0,0,13831,19.395,0,4.92,4.81,2877,15953,4104,20057,28.126
21,38,2015,74331,22746,51585,69.399,21954,8494,0,30448,21137,28.436,67,-533,-466,-108,20563,-4240,20.62,0,16323,16323,0,0,16323,21.96,0,5.8,5.7,2863.9,21096,3895,24991,33.621
22,38,2016,70074,21536,48538,69.267,21203,9046,0,30249,18289,26.1,128,-552,-424,1331,19196,-3787,19.73,0,15409,15409,0,0,15409,21.99,0,5.56,5.48,2812.9,19748,3746,23494,33.527
23,38,2017,71890,21789,50101,69.691,20067,9143,0,29210,20891,29.06,368,-726,-358,-730,19803,-3263,16.48,0,16540,16540,0,0,16540,23.007,0,6.04,5.93,2788.9,20529,3754,24283,33.778
24,38,2018,76450,25439,51011,66.725,21520,10594,0,32114,18897,24.718,385,-934,-549,-675,17673,-16373,92.64,0,1300,1300,0,0,1300,1.701,0,0.48,0.47,2745.3,18607,5642,24249,31.719
25,38,2019,81581,27091,54490,66.793,22540,10775,0,33315,21175,25.956,611,-1005,-394,-2782,17999,-2702,15.01,0,15297,15297,0,0,15297,18.751,0,5.7,5.61,2728.7,19004,6929,25933,31.788
26,38,2020,82059,27556,54503,66.419,22178,11355,0,33533,20970,25.555,357,-318,39,-3681,17328,-2209,12.75,0,15119,15119,0,0,15119,18.425,0,5.72,5.63,2684.3,17646,7009,24655,30.046
27,38,2021,82584,28427,54157,65.578,22084,12340,0,34424,19733,23.895,111,-201,-90,-3146,16497,-1783,10.81,0,14714,14714,0,0,14714,17.817,0,5.59,5.51,2670.7,16698,7231,23929,28.975
28,38,2022,93775,29855,63920,68.163,24659,15614,0,40273,23647,25.217,53,-183,-130,-741,22776,-1898,8.33,0,20878,20878,0,0,20878,22.264,0,7.93,7.81,2674,22959,7390,30349,32.364
29,38,2023,94943,31089,63854,67.255,24765,15386,0,40151,23703,24.966,490,-276,214,-2192,21725,-3784,17.42,0,17941,17941,0,0,17941,18.897,0,6.83,6.73,2663.9,22001,6970,28971,30.514
